Assembly	scaffolds
# contigs (>= 0 bp)	18629
# contigs (>= 1000 bp)	51
# contigs (>= 5000 bp)	26
# contigs (>= 10000 bp)	24
# contigs (>= 25000 bp)	19
# contigs (>= 50000 bp)	16
Total length (>= 0 bp)	6933632
Total length (>= 1000 bp)	2877140
Total length (>= 5000 bp)	2839827
Total length (>= 10000 bp)	2826538
Total length (>= 25000 bp)	2742729
Total length (>= 50000 bp)	2649687
# contigs	548
Largest contig	401485
Total length	3189921
GC (%)	37.56
N50	194327
N75	79787
L50	6
L75	12
# N's per 100 kbp	75.93
