Assembly	scaffolds
# contigs (>= 0 bp)	8567
# contigs (>= 1000 bp)	398
# contigs (>= 5000 bp)	29
# contigs (>= 10000 bp)	24
# contigs (>= 25000 bp)	22
# contigs (>= 50000 bp)	21
Total length (>= 0 bp)	9628243
Total length (>= 1000 bp)	6744160
Total length (>= 5000 bp)	6228218
Total length (>= 10000 bp)	6199729
Total length (>= 25000 bp)	6176692
Total length (>= 50000 bp)	6151220
# contigs	2085
Largest contig	655778
Total length	7880267
GC (%)	66.62
N50	302183
N75	100168
L50	8
L75	18
# N's per 100 kbp	29.72
