Assembly	scaffolds
# contigs (>= 0 bp)	21042
# contigs (>= 1000 bp)	619
# contigs (>= 5000 bp)	12
# contigs (>= 10000 bp)	10
# contigs (>= 25000 bp)	10
# contigs (>= 50000 bp)	8
Total length (>= 0 bp)	8673099
Total length (>= 1000 bp)	3869458
Total length (>= 5000 bp)	2918955
Total length (>= 10000 bp)	2903675
Total length (>= 25000 bp)	2903675
Total length (>= 50000 bp)	2832869
# contigs	1769
Largest contig	932561
Total length	4672881
GC (%)	37.90
N50	225110
N75	1421
L50	6
L75	309
# N's per 100 kbp	227.76
